25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
HLT_Ele115_CaloIdVT_GsfTrkIdT_v1,EXO,"25ns, 50ns,",yes,CMSHLT-490,L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,,±,,Hz,,"group: EXO, , high pt unisolated single lepton trigger, use case is W'->enu but generally used in EXO",,,,,,,,
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v2,SUSY,"25ns, 50ns,",yes,"CMSHLT-189, mod CMSHLT-331",L1_SingleEG15 OR L1_SingleEG10,,  20 000,  10 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   6,   6,   6,   6,   6,,  20 000,  10 000,   10,   7,   4,   2,   6,   6,   6,   6,   6,,,ms,0.01,±,0.01,Hz,,ms,0.06,±,0.06,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement",,,,,,,,
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v2,Higgs,"25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_SingleEG15 OR L1_SingleEG10,,  20 000,  10 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  20 000,  10 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,,ms,0.43,±,0.1,Hz,,ms,0.35,±,0.13,Hz,,"group : HIG, type : control, description : path for efficiency measurement, similar to the Ele12 leg of HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL and HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL",,,,,,,,
HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v1,Higgs,"25ns, 50ns",yes,CMSHLT-503,L1_SingleEG15,,  24 000,  12 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   11,   11,   11,   11,   15,   11,   8,   5,   3,,  24 000,  12 000,   110,   77,   44,   22,   15,   11,   8,   5,   3,,,,,,,,,,,,,,,,,,,,,,,
HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-293,L1_SingleEG15 OR L1_SingleEG10,,  20 000,  10 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   12,   9,   6,   4,   2,,  20 000,  10 000,   10,   7,   4,   2,   12,   9,   6,   4,   2,,,ms,0.3,±,0.11,Hz,,ms,0.29,±,0.21,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement, similar to the Ele leg of HLT_DoubleEle8_CaloIdM_TrkIdM_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Ele15_IsoVVVL_BTagCSV0p72_PFHT400_v2,SUSY,"25ns, 50ns,",yes,"CMSHLT-165, mod. CMSHLT-311, CMSHLT-405, CMSHLT-508",L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   10,   5,   3,   2,   1,   1,   1,   1,   1,   1,   1,,   10,   5,   3,   2,   1,   1,   1,   1,   1,   1,   1,,,ms,18.17,±,0.31,Hz,,ms,4.72,±,0.46,Hz,,"Group: SUSY, electron+hadronic, Type: signal, Rate: 7.0 Hz for 1.4e34, , Comments: 15 GeV lepton with very loose isolation. Cone size R=0.2",,,,,,,,
HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-165, mod. CMSHLT-311, mod CMSHLT-356, CMSHLT-508",L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,1.1,±,0.2,Hz,,"Group: SUSY, electron+hadronic, Type: signal, Rate: 3.3 Hz for 1.4e34, , Comments: 15 GeV lepton with very loose isolation. Cone size R=0.2",,,,,,,,
HLT_Ele15_IsoVVVL_PFHT600_v2,SUSY,"25ns, 50ns,",yes,"CMSHLT-165, mod. CMSHLT-311",L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,7.1,±,0.13,Hz,,ms,3.43,±,0.36,Hz,,"Group: SUSY, electron+hadronic, Type: signal, Rate: 6.1 Hz for 1.4e34, , Comments: 15 GeV lepton with very loose isolation. Cone size R=0.2",,,,,,,,
HLT_Ele15_IsoVVVL_PFHT350_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-165, mod. CMSHLT-311, CMSHLT-508",L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   10,   5,   3,   2,   1,   1,   1,   1,   1,   1,   1,,   10,   5,   3,   2,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.44,±,0.14,Hz,,"Group: SUSY, electron+hadronic, Type: control, Rate: 0.5 Hz, , Comments: control trigger for the VVVL single lepton cross-triggers. To be prescaled for 0.5 Hz, about 130 for 1.4e34",,,,,,,,
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v2,Higgs,"25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_TripleEG_14_10_8,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,1.51,±,0.43,Hz,,ms,0.17,±,0.07,Hz,,"group : HIG, type : signal, description : non-isolated triple electron path, designed for H->ZZ*->4e",,,,,,,,
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2,"Higgs, SMP","25ns, 50ns,",yes,"CMSHLT-213 (only for 7e33), mod CMSHLT-331",L1_DoubleEG_15_10,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,5.82,±,0.36,Hz,,"group : HIG, type : signal, description : double electron path with isolation and DZ cut, designed for H->ZZ*->4l and H->WW",,,,,,,,
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v2,"Higgs, SMP","25ns, 50ns,",yes,"CMSHLT-213 (only for 7e33), mod CMSHLT-331",L1_DoubleEG_15_10,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   10,   7,   5,   2,   1,   1,   1,   1,   1,   1,,0,   10,   7,   5,   2,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,0.84,±,0.23,Hz,,"group : HIG, type : control, description : similar to HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL, except for the lack of a DZ cut",,,,,,,,
HLT_Ele18_CaloIdL_TrackIdL_IsoVL_PFJet30_v2,SUSY,"25ns, 50ns,",yes,"CMSHLT-189, mod CMSHLT-331",L1_SingleEG15 OR L1_SingleEG10,,  20 000,  10 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   6,   6,   6,   6,   6,,  20 000,  10 000,   10,   7,   4,   2,   6,   6,   6,   6,   6,,,ms,0.08,±,0.05,Hz,,ms,0.06,±,0.06,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement",,,,,,,,
HLT_Ele18_CaloIdM_TrackIdM_PFJet30_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-293,L1_SingleEG15 OR L1_SingleEG10,,  20 000,  10 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   12,   9,   6,   4,   2,,  20 000,  10 000,   10,   7,   4,   2,   12,   9,   6,   4,   2,,,ms,0.17,±,0.07,Hz,,ms,0.03,±,0.03,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement, similar to the Ele leg of HLT_DoubleEle8_CaloIdM_TrkIdM_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1,"Higgs, Taus","25ns, 50ns,",yes,"CMSHLT-110, mod. CMSHLT-160, CMSHLT-232, CMSHLT-330",L1_IsoEG20er_TauJet20er_NotWdEta0,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,17.87,±,2.95,Hz,,ms,6.49,±,0.52,Hz,,"group: TAU, HIG, rate: 47Hz at 1.4e34, type: signal, description: Trigger with an Isolated Electron and Loose Iso PFTau, seeded by unp'ed L1IsoEGer_TauEr cross-seed.",,,,,,,,
HLT_Ele22_eta2p1_WPLoose_Gsf_v1,E/Gamma,"25ns, 50ns,",yes,"CMSHLT-160, mod. CMSHLT-232, CMSHLT-330",L1_SingleIsoEG20er,,  2 000,  1 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  2 000,  1 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,,ms,0.1,±,0.03,Hz,,ms,0.11,±,0.06,Hz,,"group: TAU, HIG, rate: ??, type: monitor, description: Trigger with a single Isolated Electron identical to an electron leg for e+tau triggers; seeded by prescaled L1 seed",,,,,,,,
HLT_Ele22_eta2p1_WPTight_Gsf_v1,"Higgs, Taus","25ns, 50ns,",yes,CMSHLT-330,L1_SingleIsoEG20er,,  2 000,  1 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  2 000,  1 000,   10,   7,   4,   2,   1,   1,   1,   1,   1,,,ms,0.08,±,0.03,Hz,,ms,0.06,±,0.02,Hz,,"group: TAU, HIG, rate: ??, type: monitor, description: Trigger with a single Isolated Electron identical to an electron leg for e+tau triggers; seeded by prescaled L1 seed",,,,,,,,
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v2,SUSY,"25ns, 50ns,",yes,"CMSHLT-189, mod CMSHLT-331",L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   100,  1 100,   650,   325,   250,   180,   125,   75,   36,,  4 000,  2 000,  1 000,  1 100,   650,   325,   250,   180,   125,   75,   36,,,ms,0.08,±,0.04,Hz,,ms,0.16,±,0.09,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement",,,,,,,,
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v2,Higgs,"25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.71,±,0.12,Hz,,ms,0.73,±,0.19,Hz,,"group : HIG, type : control, description : path for efficiency measurement, similar to the Ele23 leg of HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL and HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL",,,,,,,,
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-293,L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   100,   800,   460,   230,   180,   120,   90,   48,   24,,  4 000,  2 000,  1 000,   800,   460,   230,   180,   120,   90,   48,   24,,,ms,0.92,±,0.42,Hz,,ms,0.33,±,0.12,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement, similar to the Ele leg of HLT_DoubleEle8_CaloIdM_TrkIdM_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2,"Higgs, Top, SMP, B2G","25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_DoubleEG_22_10,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,13.25,±,2.88,Hz,,ms,4.9,±,0.25,Hz,,"group : HIG, type : signal, description : double electron path with isolation and DZ cut, designed for H->ZZ*->4l and H->WW",,,,,,,,
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v2,"Higgs, Top, SMP","25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_DoubleEG_22_10,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   10,   5,   3,   2,   1,   1,   1,   1,   1,   1,   1,,   10,   5,   3,   2,   1,   1,   1,   1,   1,   1,   1,,,ms,1.86,±,0.17,Hz,,ms,1.39,±,0.18,Hz,,"group : HIG, type : control, description : similar to HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL, except for the lack of a DZ cut",,,,,,,,
HLT_Ele23_WPLoose_Gsf_v1,,"50ns,",yes,"CMSHLT-269, mod. CMSHLT-330 (for 50ns runs)",L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,0,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,0,   10,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,,±,,Hz,,"group: SMP, rate: 85Hz @ 2.5e33 (measured with WP75), type: signal, description (for 25ns): opportunistic trigger for end of fills, for W/Z inclusive xsec, description (for 50ns): opportunistic trigger for low lumi (~2.5e33) in 50ns running period. To collect single electron events for W and Z inclusive xsec measurements",,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1,Top,"25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330, CMSHLT-405",L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,10.09,±,0.9,Hz,,"TOP PAG, single-top subgroup, (Backup) signal trigger",,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v1,"Higgs, Taus, EXO","25ns, 50ns,",yes,"CMSHLT-160, mod. CMSHLT-232, CMSHLT-330 (only for 7e33)",L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,1.01,±,0.05,Hz,,"group: TAU, HIG, EXO, rate: in stadow of unprescales Ele27 trigger, 0.6Hz at 7e33, type: monitoring, description: Trigger with an Isolated Electron and a pair of Medium Iso PFTaus, seeded by unp'ed L1SingleIsoEGer seed. The trigger will be used to monitor DoubleMediumIsoPFTau path (particularly correlation between two PFTaus) using Z->ee events with e->tau, jet->tau fakes.",,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v1,Higgs,"25ns, 50ns,",yes,"CMSHLT-161, mod. CMSHLT-336",L1_EG25er_HTT125 OR L1_HTT125 OR L1_HTT100,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,20.78,±,0.46,Hz,,ms,8.65,±,0.89,Hz,,"group: ttH, Signal trigger for single electron+jets final state., Different L1 Seed (L1_SingleEG25er_HTT125) w.r.t. HLT_Ele27_eta2p1_WPLoose_Gsf_v1 gains more signal efficiency. Using HTT instead of triJets to reduce rate.",,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1,"Higgs, Taus","25ns, 50ns,",yes,"CMSHLT-160, mod. CMSHLT-232, CMSHLT-330 (only for 7e33)",L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,9.65,±,0.65,Hz,,"group: TAU, HIG, rate: in stadow of unprescales Ele27 trigger, 11.5Hz at 7e33, type: signal, description: Trigger with an Isolated Electron and Loose Iso PFTau, seeded by unp'ed L1SingleIsoEGer seed.",,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_TriCentralPFJet30_v1,Top,"25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330",L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,4.04,±,0.56,Hz,,group: Top,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_TriCentralPFJet50_40_30_v1,Top,"25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330",L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,3.03,±,0.49,Hz,,group: Top,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_v1,"E/Gamma, Higgs, SMP","25ns, 50ns, PIon,",yes,"CMSHLT-193, mod. CMSHLT-330",L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.23,±,0.04,Hz,,ms,106.37,±,4.45,Hz,,group: Egamma,,,,,,,,
HLT_Ele27_eta2p1_WPTight_Gsf_v1,E/Gamma,"25ns, 50ns,",yes,CMSHLT-330,L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.18,±,0.04,Hz,,ms,70.95,±,4.15,Hz,,group: Egamma,,,,,,,,
HLT_Ele27_WPLoose_Gsf_WHbbBoost_v1,Higgs,"25ns, 50ns,",yes,CMSHLT-343,L1_EG25er_HTT125 OR L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,10.89,±,0.29,Hz,,ms,3.69,±,0.39,Hz,,None,,,,,,,,
HLT_Ele30WP60_Ele8_Mass55_v1,Higgs,"25ns, 50ns,",yes,"CMSHLT-95, mod CMSHLT-326, CMSHLT-408",L1_SingleEG25 OR L1_SingleIsoEG30er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,21.65,±,0.57,Hz,,ms,12.71,±,0.86,Hz,,"group : EGM, type : signal, description : Tag and probe trigger",,,,,,,,
HLT_Ele30WP60_SC4_Mass55_v2,E/Gamma,"25ns, 50ns,",yes,"CMSHLT-95, mod CMSHLT-326, CMSHLT-408",L1_SingleEG25 OR L1_SingleIsoEG30er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,31.71,±,4.15,Hz,,ms,14.43,±,0.91,Hz,,"group : HIG, type : signal, description : double electron path with isolation, designed for the HZZ4L analysis",,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1,Top,"25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330, CMSHLT-405",L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,23.99,±,1.05,Hz,,ms,6.51,±,0.7,Hz,,"TOP PAG, single-top subgroup, (Backup) signal trigger",,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v1,"Higgs, Taus, EXO","25ns, 50ns,",yes,"CMSHLT-160, mod. CMSHLT-232, CMSHLT-330",L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,1.77,±,0.05,Hz,,ms,0.99,±,0.05,Hz,,"group: TAU, HIG, EXO, rate: in stadow of unprescales Ele32 trigger, 1.7Hz at 1.4e34, type: monitoring, description: Trigger with an Isolated Electron and a pair of Medium Iso PFTaus, seeded by unp'ed L1SingleIsoEGer seed. The trigger will be used to monitor DoubleMediumIsoPFTau path (particularly correlation between two PFTaus) using Z->ee events with e->tau, jet->tau fakes.",,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1,"Higgs, Taus","25ns, 50ns,",yes,"CMSHLT-160, mod. CMSHLT-232, CMSHLT-330",L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,18.9,±,2.89,Hz,,ms,7.29,±,0.53,Hz,,"group: TAU, HIG, rate: in stadow of unprescales Ele32 trigger, 30Hz at 1.4e34, type: signal, description: Trigger with an Isolated Electron and Loose Iso PFTau, seeded by unp'ed L1SingleIsoEGer seed.",,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_TriCentralPFJet30_v1,Top,"25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330",L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,9.1,±,0.51,Hz,,ms,3.31,±,0.53,Hz,,group: Top,,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_TriCentralPFJet50_40_30_v1,Top,"25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330",L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,6.47,±,0.47,Hz,,ms,2.56,±,0.47,Hz,,group: Top,,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_v1,"Higgs, E/Gamma, SMP","25ns, 50ns,",yes,"CMSHLT-193, mod. CMSHLT-330",L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,154.12,±,6.05,Hz,,ms,69.22,±,4.21,Hz,,group: Egamma,,,,,,,,
HLT_Ele32_eta2p1_WPTight_Gsf_v1,"Higgs, E/Gamma","25ns, 50ns,",yes,CMSHLT-330,L1_SingleIsoEG30er OR L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,104.34,±,5.17,Hz,,ms,49.55,±,4.04,Hz,,group: Egamma,,,,,,,,
HLT_Ele33_CaloIdL_TrackIdL_IsoVL_PFJet30_v2,SUSY,"25ns, 50ns,",yes,"CMSHLT-189, mod CMSHLT-331",L1_SingleEG30,,   800,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   2,  1 300,   950,   660,   380,   190,   125,   90,   60,   35,   20,,  1 600,  1 300,   950,   660,   380,   190,   125,   90,   60,   35,   20,,,ms,0.06,±,0.03,Hz,,ms,0.13,±,0.08,Hz,,"group : HIG, type : control, description : path for efficiency measurement",,,,,,,,
HLT_Ele33_CaloIdM_TrackIdM_PFJet30_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-293,L1_SingleEG30,,   800,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   800,   550,   400,   230,   115,   90,   60,   42,   24,   12,,   800,   800,   550,   400,   230,   115,   90,   60,   42,   24,   12,,,ms,0.25,±,0.05,Hz,,ms,0.13,±,0.08,Hz,,"group : SUSY, type : control, description : path for fake-ratio measurement, similar to the Ele leg of HLT_DoubleEle8_CaloIdM_TrkIdM_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v2,B2G,"25ns, 50ns,",yes,CMSHLT-98,L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,7.94,±,0.18,Hz,,ms,3.87,±,0.42,Hz,,"group: B2G, , High pt unisolated lepton trigger plus jets in a boosted regime, Expected rate: 4.44 Hz at L=1E34",,,,,,,,
