25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
AlCa_RPCMuonNormalisation_v2,AlCa,"25ns, 50ns,",yes,CMSHLT-231,L1_SingleMu5 OR L1_SingleMu14er OR L1_SingleMu16er OR L1_SingleMu20er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   20,   20,   20,   20,   20,   20,   20,   20,   20,   20,   20,,   20,   20,   20,   20,   20,   20,   20,   20,   20,   20,   20,,,ms,,±,,Hz,,ms,,±,,Hz,,None,,,,,,,,
AlCa_RPCMuonNoTriggers_v2,AlCa,"25ns, 50ns,",yes,CMSHLT-231,L1_SingleMu5 OR L1_SingleMu14er OR L1_SingleMu16er OR L1_SingleMu20er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,,,ms,,±,,Hz,,ms,,±,,Hz,,None,,,,,,,,
HLT_Activity_Ecal_SC7_v2,ECAL,"25ns, 50ns, LowPU",yes,"CMSHLT-252, CMSHLT-378",L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,   250,   300,   200,   140,   80,   40,   30,   20,   15,   8,   4,,  3 250,  3 900,  2 600,  1 820,  1 040,   520,   390,   260,   195,   104,   52,,,ms,,±,,Hz,,ms,0.31,±,0.22,Hz,,None,,,,,,,,
HLT_AK4CaloJet100_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_SingleJet36,,  80 000,  40 000,  40 000,  40 000,  20 000,  20 000,  5 000,  5 000,  2 000,  2 000,  2 000,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,Calo trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4CaloJet30_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,Calo trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4CaloJet40_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,Calo trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4CaloJet50_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,Calo trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4CaloJet80_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_SingleJet36,,  80 000,  40 000,  40 000,  40 000,  20 000,  20 000,  5 000,  5 000,  2 000,  2 000,  2 000,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,Calo trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4PFJet100_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_SingleJet36,,  80 000,  40 000,  40 000,  40 000,  20 000,  20 000,  5 000,  5 000,  2 000,  2 000,  2 000,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,PF trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4PFJet30_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,PF trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4PFJet50_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,PF trigger for low PU run for group: HIN,,,,,,,,
HLT_AK4PFJet80_v2,HIN,LowPU,yes,CMSHLT-279 (for low PU runs),L1_SingleJet36,,  80 000,  40 000,  40 000,  40 000,  20 000,  20 000,  5 000,  5 000,  2 000,  2 000,  2 000,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,,±,,Hz,,PF trigger for low PU run for group: HIN,,,,,,,,
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45_v2,B2G,"25ns, 50ns,",yes,"CMSHLT-148, mod. CMSHLT-204, CMSHLT-274, CMSHLT-405",L1_SingleJet176 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,84.12,±,6.45,Hz,,ms,29.22,±,2.79,Hz,,"group: B2G PAG, rate: 29 Hz at L=1.4E34 (PU40bx25), type: signal, description: developed for boosted dijet signals, specifically single production VLQ (e.x. T'->bW)",,,,,,,,
